ticker,peso,monto_sugerido_ars,nombre,ultimo_precio,cantidad_sugerida
UGP.BA,0.16060270586737382,330221.11444115854,Ultrapar Participações S.A.,9695.0,34
FDX.BA,0.15701405073744332,322842.34899663826,FedEx Corporation,53675.0,6
CADO.BA,0.13722201635352546,282147.22112804354,Carlos Casado S.A.,544.0,519
GARO.BA,0.10803782395440595,222140.5326600367,Garovaglio y Zorraquín S.A.,465.0,478
NVDA.BA,0.08316389975113415,170996.3447301498,NVIDIA Corporation,14850.0,12
PBI.BA,0.060741396276879425,124892.61287930721,Pitney Bowes Inc.,26540.0,5
AUSO.BA,0.055430675879219064,113973.04587245357,Autopistas Del Sol SA,3230.0,35
ADP.BA,0.05112922401086002,105128.672908666,"Automatic Data Processing, Inc.",72900.0,1
INTC.BA,0.04779288604902298,98268.70604845643,Intel Corporation,33140.0,3
TGNO4.BA,0.03663401128366575,75324.53433587904,Transportadora de Gas del Norte S.A.,3495.0,22
SLB.BA,0.03190629935221965,65603.71242115906,SLB N.V.,27500.0,2
DAL.BA,0.03181236751003306,65410.57571501924,DELTA AIR LINES INC CEDEAR EACH,18120.0,4
PAMP.BA,0.01829136414203812,37609.5447396813,Pampa Energía S.A.,5000.0,8
CAR.BA,0.012204593982375441,25094.313351669418,"Avis Budget Group, Inc.",8425.0,3
ADI.BA,0.005398565651488648,11100.188855413906,"Analog Devices, Inc.",40140.0,0
