ticker,peso,monto_sugerido_usd,nombre,ultimo_precio,cantidad_sugerida
TEN,0.15132855250741803,1547.5447960763345,Tsakos Energy Navigation Limited,41.53950119018555,37
PSX,0.14593828667042988,1492.4218354236173,Phillips 66,234.99000549316406,6
UNP,0.12350706077765641,1263.0313712660177,Union Pacific Corporation,299.5799865722656,4
XOM,0.12292143596104771,1257.0425434976987,ExxonMobil Holdings Corporation,160.96499633789062,8
RTX,0.11421363181078308,1167.993142213474,RTX Corporation,220.4499969482422,5
FDX,0.09733655045881115,995.4015262464817,FedEx Corporation,340.06500244140625,3
MU,0.09574243392415423,979.0994688576315,"Micron Technology, Inc.",975.5999755859375,1
SNOW,0.05197373591540089,531.5036932278964,Snowflake Inc.,329.6199951171875,2
EQNR,0.03900689018924865,398.89967176243044,Equinor ASA,40.77000045776367,10
INTC,0.028749524929498102,294.0038542437701,Intel Corporation,105.24500274658203,3
DAL,0.01825588113673992,186.69176029794573,"Delta Air Lines, Inc.",90.91500091552734,2
UGP,0.00540769128098882,55.301160038991256,Ultrapar Participacoes S.A. (Ne,6.114999771118164,9
SHOP,0.005149108694721475,52.65679366461274,Shopify Inc.,155.79969787597656,0
