ticker,ticker_original,sector_json,industria,nombre,moneda,pais,rend_esperado_annual,volatilidad_annual,sharpe,var_95,skewness,kurtosis,ultimo_precio,fund_sector,fund_industry,fund_trailingPE,fund_forwardPE,fund_priceToBook,fund_returnOnEquity,fund_revenueGrowth,fund_earningsGrowth,fund_debtToEquity,fund_freeCashflow,fund_marketCap,fund_recommendationMean,fund_numberOfAnalystOpinions,fund_targetMeanPrice,fund_currentPrice,news_score,news_count,news_bullish,news_bearish
MU,MUD,Tecnología,Semiconductores,"Micron Technology, Inc.",USD,EE.UU.,2.3931638530549275,0.8109240929087005,2.901829990787884,-0.06982018338085905,0.3049847960257367,1.0378609839176272,975.5999755859375,Technology,Semiconductors,22.119299,6.3206325,10.973493,0.66638,3.457,13.685,6.33,7639499776.0,,1.41304,43.0,1501.9767,979.25,3,10,4,1
PSX,PSXD,Energía,Refinacion y comercializacion de petróleo y gas,Phillips 66,USD,EE.UU.,0.7343368108087731,0.3092298565806727,2.245374423047125,-0.02820154241253814,0.15707644304324242,1.0809985228233114,234.99000549316406,Energy,Oil & Gas Refining & Marketing,13.412671,11.017037,3.302555,0.23452999,0.531,3.449,62.884,4545375232.0,94215716864.0,2.1,19.0,217.10526,234.99,3,10,4,1
INTC,INTCD,Tecnología,Semiconductores,Intel Corporation,USD,EE.UU.,1.7971240980675327,0.7907473165602237,2.222105673037348,-0.06160302522017236,0.8332521040426943,3.188162722562963,105.24500274658203,Technology,Semiconductors,,51.76141,6.0833,-0.10715,0.254,,48.997,4866375168.0,558212710400.0,2.59574,40.0,114.05,105.6152,4,10,4,0
TEN,TEND,Energía,Equipos y servicios de petróleo y gas,Tsakos Energy Navigation Limited,USD,EE.UU.,0.8279410421099892,0.3582956765279546,2.199136338304415,-0.03192963452581862,0.13448915708611878,0.3713025614569543,41.53950119018555,Energy,Oil & Gas Midstream,6.7764273,14.153152,0.6391676,0.11649,0.284,1.628,109.664,,1251485696.0,1.0,2.0,46.0,41.5395,2,10,3,1
FDX,FDXD,Acciones Industriales,Transporte y logistica integrados,FedEx Corporation,USD,EE.UU.,0.665739618156996,0.2862631394723532,2.185889595532186,-0.02464792454962972,-0.2496640410920126,3.351697733096756,340.06500244140625,Industrials,Integrated Freight & Logistics,18.327587,16.321901,2.579647,0.14846,0.125,-0.043,135.697,5656625152.0,80475455488.0,1.82143,25.0,352.2261,340.16,-2,10,0,2
CAT,CATD,Acciones Industriales,Maquinaria agricola y de construcción pesada,"Caterpillar, Inc.",USD,EE.UU.,0.8174647509036517,0.394192798315624,1.9722956741618294,-0.03717344847180104,0.4449760948186364,2.489760132159893,864.4400024414062,Industrials,Farm & Heavy Construction Machinery,37.325806,27.111261,20.567986,0.56972003,0.24,0.682,232.783,5048999936.0,398917369856.0,2.14286,26.0,970.70734,867.825,5,10,6,1
UGP,UGPD,Energía,Refinacion y comercializacion de petróleo y gas,Ultrapar Participacoes S.A. (Ne,USD,EE.UU.,0.6933430917828841,0.3591248259898663,1.8192646247222128,-0.031009910044035416,0.002055409761261491,1.2113173008601597,6.114999771118164,Energy,Oil & Gas Refining & Marketing,9.706349,10.251637,2.0190125,0.19804001,0.219,0.443,97.688,6001807360.0,6506471936.0,2.0,7.0,6.723,6.115,3,10,4,1
AMD,AMDD,Tecnología,Semiconductores,"Advanced Micro Devices, Inc.",USD,EE.UU.,1.2749109226725266,0.7148920101971877,1.727409042285845,-0.05943844235931739,0.7912156659916052,4.150704300009705,501.7699890136719,Technology,Semiconductors,128.62787,32.531643,12.209826,0.10196,0.501,1.595,6.361,8841499648.0,821028782080.0,1.4902,46.0,613.3348,502.935,4,10,4,0
XOM,XOMD,Energía,Petroleo y Gas Integrados,ExxonMobil Holdings Corporation,USD,EE.UU.,0.4704662764049093,0.2539452032819155,1.6951148154865132,-0.025798641673599243,-0.2568932875091268,0.7371203644432458,160.96499633789062,Energy,Oil & Gas Integrated,20.870298,15.00097,2.5508878,0.12584,0.441,1.128,15.921,20671000576.0,661647785984.0,2.4,22.0,168.31818,160.91,4,10,4,0
MRVL,MRVLD,Tecnología,Semiconductores,"Marvell Technology, Inc.",USD,EE.UU.,1.3360713707360736,0.7898325043122564,1.6409445846554807,-0.07241469141374246,0.9132998723912812,7.741308033792226,220.2050018310547,Technology,Semiconductors,74.04027,35.34493,10.605652,0.16028,0.276,-0.804,28.97,2269700096.0,198034210816.0,1.4186,40.0,256.9142,220.64,6,10,6,0
TTE,TTED,Energía,Petroleo y Gas Integrados,TotalEnergies SE,USD,EE.UU.,0.43332406690956393,0.2449623626718467,1.605651017648224,-0.022847451238158234,-0.2609572161047747,0.8522421495737942,88.12000274658203,Energy,Oil & Gas Integrated,11.02378,9.1344,1.525644,0.14479999,0.278,1.06,48.045,13531374592.0,195288023040.0,,,,88.08,4,10,5,1
EQNR,EQNRD,Energía,Petroleo y Gas Integrados,Equinor ASA,USD,EE.UU.,0.6399441453458627,0.3850550539614255,1.5580736810844837,-0.03814726106000693,-0.07333658037062502,0.897759120341298,40.77000045776367,Energy,Oil & Gas Integrated,11.169863,11.1297655,4.6031384,0.21270001,0.374,2.98,75.162,29396250624.0,96814358528.0,,6.0,34.74167,40.77,6,10,6,0
ADI,ADID,Tecnología,Semiconductores,"Analog Devices, Inc.",USD,EE.UU.,0.5703216716813969,0.35613045135593097,1.4891219486068947,-0.030266814406645415,-0.0679956959799908,1.3529205454250213,386.0799865722656,Technology,Semiconductors,57.94003,25.657316,5.5787964,0.09639,0.372,1.105,25.81,3868954624.0,,,30.0,457.73334,386.46,10,10,10,0
SLB,SLBD,Energía,Equipos y servicios de petróleo y gas,SLB N.V.,USD,EE.UU.,0.5687839990453222,0.35632257951204727,1.4840036232602654,-0.03201140772332545,0.5021175635088314,2.84499550398766,53.505001068115234,Energy,Oil & Gas Equipment & Services,26.104877,16.509434,3.0461633,0.12909001,0.05,-0.297,47.002,2955124992.0,79423922176.0,1.6,29.0,61.96552,53.515,5,10,6,1
HAL,HALD,Energía,Equipos y servicios de petróleo y gas,Halliburton Company,USD,EE.UU.,0.5567792760690602,0.3617370725390038,1.4286046836223545,-0.032377063516644655,0.6286325257019117,2.478881911748101,34.05500030517578,Energy,Oil & Gas Equipment & Services,17.835077,11.716895,2.5804863,0.14917,0.037,0.161,74.186,2052249984.0,28380583936.0,1.75,25.0,43.52,34.065,6,10,7,1
PBR,PBRD,Energía,Petroleo y Gas Integrados,Petróleo Brasileiro S.A. - Petrobras,USD,EE.UU.,0.4897171741752577,0.3188738026359841,1.4103296365447748,-0.03215446139512135,-0.02616575849848901,0.5695355549643359,18.079999923706055,Energy,Oil & Gas Integrated,4.560606,4.5300965,1.3441328,0.30274,0.423,0.968,76.067,94240129024.0,116385251328.0,1.78571,14.0,22.18836,18.065,4,10,5,1
RTX,RTXD,Acciones Industriales,Aeroespacial y Defensa,RTX Corporation,USD,EE.UU.,0.40212977940345895,0.25783012868261007,1.4045285601561415,-0.025071022442944346,0.6264045324441477,2.99346392788541,220.4499969482422,Industrials,Aerospace & Defense,38.73989,28.068632,4.4757357,0.12274,0.145,0.287,57.02,9880000512.0,297086287872.0,1.86957,22.0,232.27182,220.43,6,10,7,1
UNP,UNPD,Acciones Industriales,Ferrocarriles,Union Pacific Corporation,USD,EE.UU.,0.349930338071944,0.2208931300164679,1.4030782127485735,-0.021011792429462772,0.8007097126992836,6.172604186025504,299.5799865722656,Industrials,Railroads,24.237461,21.163944,9.159075,0.39696,0.115,0.066,150.772,4720750080.0,177970184192.0,1.8,24.0,329.25,299.575,4,10,4,0
BKR,BKRD,Energía,Equipos y servicios de petróleo y gas,Baker Hughes Company,USD,EE.UU.,0.46980476415169914,0.3261522416888703,1.3178041086766688,-0.035238701345909784,-0.02816026014606301,0.8375006203912112,64.4800033569336,Energy,Oil & Gas Equipment & Services,20.729904,20.373339,3.213538,0.16463,-0.024,-0.042,80.925,4415000064.0,63997698048.0,1.70833,23.0,71.3913,64.47,6,10,6,0
LMT,LMTD,Acciones Industriales,Aeroespacial y Defensa,Lockheed Martin Corporation,USD,EE.UU.,0.3875980465233395,0.2730771272726593,1.2728933030567342,-0.02414903413565178,0.8255595142116257,5.1166280431043525,603.7999877929688,Industrials,Aerospace & Defense,22.265194,18.476881,15.856985,0.89165,0.105,4.438,234.238,5562625024.0,139513004032.0,2.52381,19.0,630.3158,604.5,5,10,5,0
DAL,DALD,Acciones Industriales,Aerolíneas,"Delta Air Lines, Inc.",USD,EE.UU.,0.521959735075555,0.3920989974575919,1.2291786977284536,-0.03519612871028177,0.5069680114909225,0.8860954835706067,90.91500091552734,Industrials,Airlines,14.836052,10.268011,2.726741,0.20125,0.187,-0.254,96.649,2817374976.0,,,24.0,105.52083,90.945,2,10,3,1
