Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-07-01 00:00:00-04:00,0.33750024437904363,0.34303323312820855,0.33750024437904363,0.3375002443790436,3600861,0.0,0.0
1983-07-05 00:00:00-04:00,0.326434834708768,0.326434834708768,0.3209018111228943,0.3209018111228943,2037498,0.0,0.0
1983-07-06 00:00:00-04:00,0.33196792006492615,0.3430333607583969,0.33196792006492615,0.33196792006492615,771430,0.0,0.0
1983-07-07 00:00:00-04:00,0.326434834708768,0.326434834708768,0.3209018111228943,0.3209018111228943,840628,0.0,0.0
1983-07-08 00:00:00-04:00,0.32090181654928207,0.3264348402287181,0.3153693675994873,0.3153693675994873,258852,0.0,0.0
1983-07-11 00:00:00-04:00,0.3153693675994873,0.3264348402287181,0.3153693675994873,0.3153693675994873,189654,0.0,0.0
1983-07-12 00:00:00-04:00,0.3153693675994873,0.32090181654928207,0.3153693675994873,0.3153693675994873,302421,0.0,0.0
1983-07-13 00:00:00-04:00,0.3153695334324733,0.3209019852914363,0.3098365068435669,0.3098365068435669,251163,0.0,0.0
1983-07-14 00:00:00-04:00,0.3098365760189661,0.3098365760189661,0.3043041229248047,0.3043041229248047,107641,0.0,0.0
1983-07-15 00:00:00-04:00,0.2987710174472991,0.2987710174472991,0.28770554065704346,0.28770554065704346,389559,0.0,0.0
1983-07-18 00:00:00-04:00,0.2877053877943577,0.2932378358850746,0.28217238187789917,0.28217238187789917,158899,0.0,0.0
1983-07-19 00:00:00-04:00,0.28217238187789917,0.2932378358850746,0.28217238187789917,0.28217238187789917,333176,0.0,0.0
1983-07-20 00:00:00-04:00,0.28770554065704346,0.2987710174472991,0.28770554065704346,0.28770554065704346,412625,0.0,0.0
1983-07-21 00:00:00-04:00,0.28770554065704346,0.2987710174472991,0.28770554065704346,0.28770554065704346,297295,0.0,0.0
1983-07-22 00:00:00-04:00,0.2987709641456604,0.3153694299271177,0.2987709641456604,0.2987709641456604,220409,0.0,0.0
1983-07-25 00:00:00-04:00,0.3098365068435669,0.3209019852914363,0.3098365068435669,0.3098365068435669,176839,0.0,0.0
1983-07-26 00:00:00-04:00,0.3209018111228943,0.33196785829464165,0.3209018111228943,0.3209018111228943,389559,0.0,0.0
1983-07-27 00:00:00-04:00,0.32090181654928207,0.3264348402287181,0.3153693675994873,0.3153693675994873,374182,0.0,0.0
1983-07-28 00:00:00-04:00,0.3153693675994873,0.3153693675994873,0.3153693675994873,0.3153693675994873,0,0.0,0.0
1983-07-29 00:00:00-04:00,0.3153695334324733,0.3209019852914363,0.3098365068435669,0.3098365068435669,146085,0.0,0.0
1983-08-01 00:00:00-04:00,0.3153693675994873,0.32090181654928207,0.3153693675994873,0.3153693675994873,212720,0.0,0.0
1983-08-02 00:00:00-04:00,0.3153693675994873,0.3264348402287181,0.3153693675994873,0.3153693675994873,51258,0.0,0.0
1983-08-03 00:00:00-04:00,0.3153693675994873,0.32090181654928207,0.3153693675994873,0.3153693675994873,115330,0.0,0.0
1983-08-04 00:00:00-04:00,0.3153695334324733,0.3209019852914363,0.3098365068435669,0.3098365068435669,99953,0.0,0.0
1983-08-05 00:00:00-04:00,0.3098365068435669,0.3209019852914363,0.3098365068435669,0.3098365068435669,23066,0.0,0.0
1983-08-08 00:00:00-04:00,0.3098365760189661,0.3209020569373607,0.3043041229248047,0.3043041229248047,51258,0.0,0.0
1983-08-09 00:00:00-04:00,0.3043041229248047,0.3153696038431993,0.3043041229248047,0.3043041229248047,20503,0.0,0.0
1983-08-10 00:00:00-04:00,0.3043041229248047,0.3153696038431993,0.3043041229248047,0.3043041229248047,25629,0.0,0.0
1983-08-11 00:00:00-04:00,0.3043041229248047,0.3153696038431993,0.3043041229248047,0.3043041229248047,69198,0.0,0.0
