Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-08-12 00:00:00-04:00,47.741565451650104,47.902605412708915,47.654847711795945,47.871158599853516,3100,0.0,0.0,0.0
2025-08-13 00:00:00-04:00,48.117012917351374,48.15036449960025,48.050309752853614,48.1341667175293,4500,0.0,0.0,0.0
2025-08-14 00:00:00-04:00,47.997892323981,48.16846337663151,47.997892323981,48.035057067871094,2600,0.0,0.0,0.0
2025-08-15 00:00:00-04:00,47.92165530465192,47.98835845012276,47.807303939517226,47.953102111816406,1900,0.0,0.0,0.0
2025-08-18 00:00:00-04:00,47.978830917694474,48.02647914089928,47.85495571549936,48.002655029296875,2500,0.0,0.0,0.0
2025-08-19 00:00:00-04:00,47.89307721436311,47.91499656391869,47.797788022115995,47.90641784667969,2000,0.0,0.0,0.0
2025-08-20 00:00:00-04:00,47.807313184379446,47.82446698298145,47.70249653197665,47.80255126953125,3600,0.0,0.0,0.0
2025-08-21 00:00:00-04:00,47.76920358755156,47.788262153647715,47.57862156163979,47.67295837402344,6600,0.0,0.0,0.0
2025-08-22 00:00:00-04:00,48.00742535278658,48.12653865254584,48.00742535278658,48.10271453857422,2200,0.0,0.0,0.0
2025-08-25 00:00:00-04:00,47.90260249235464,47.90260249235464,47.86448536606882,47.888309478759766,3200,0.0,0.0,0.0
2025-08-26 00:00:00-04:00,47.63579152350435,47.685340881347656,47.626260424079135,47.685340881347656,1800,0.0,0.0,0.0
2025-08-27 00:00:00-04:00,47.62435434597489,47.65675354003906,47.483325339792074,47.65675354003906,2600,0.0,0.0,0.0
2025-08-28 00:00:00-04:00,47.82636640029559,47.969303800845154,47.81397815297671,47.93118667602539,3700,0.0,0.0,0.0
2025-08-29 00:00:00-04:00,47.86734359218109,47.91403579711914,47.84542424646086,47.91403579711914,500,0.0,0.0,0.0
2025-09-02 00:00:00-04:00,47.541450811585655,47.70725631713867,47.541450811585655,47.70725631713867,700,0.0,0.0,0.0
2025-09-03 00:00:00-04:00,47.75966893160176,47.943580627441406,47.75966893160176,47.943580627441406,1100,0.0,0.0,0.0
2025-09-04 00:00:00-04:00,48.18562316894531,48.18562316894531,48.18562316894531,48.18562316894531,500,0.0,0.0,0.0
2025-09-05 00:00:00-04:00,48.3218816218556,48.512463624725335,48.3218816218556,48.45528793334961,4600,0.0,0.0,0.0
2025-09-08 00:00:00-04:00,48.31235796140169,48.41717825298563,48.31235796140169,48.375247955322266,1500,0.0,0.0,0.0
2025-09-09 00:00:00-04:00,48.34094204856874,48.46672566640319,48.34094204856874,48.44004440307617,2600,0.0,0.0,0.0
2025-09-10 00:00:00-04:00,48.674463291638006,48.74211883544922,48.655404726400405,48.74211883544922,1200,0.0,0.0,0.0
2025-09-11 00:00:00-04:00,48.895534835871295,49.03656385290854,48.895534835871295,49.00893020629883,1700,0.0,0.0,0.0
2025-09-12 00:00:00-04:00,48.87456993211892,48.87456993211892,48.82692533932016,48.86980438232422,3900,0.0,0.0,0.0
2025-09-15 00:00:00-04:00,48.96986158725366,48.96986158725366,48.9222169920522,48.946041107177734,3500,0.0,0.0,0.0
2025-09-16 00:00:00-04:00,48.93174326650957,49.01083467393847,48.93174326650957,49.003211975097656,1700,0.0,0.0,0.0
2025-09-17 00:00:00-04:00,49.027038595125994,49.027038595125994,48.94127686744742,48.97462844848633,1200,0.0,0.0,0.0
2025-09-18 00:00:00-04:00,48.80786684283966,48.80786684283966,48.66016387939453,48.66016387939453,800,0.0,0.0,0.0
2025-09-19 00:00:00-04:00,48.61728602617891,48.61728602617891,48.50293827349499,48.60299301147461,500,0.0,0.0,0.0
2025-09-22 00:00:00-04:00,48.776420617498744,48.89362915269589,48.776420617498744,48.884098052978516,2700,0.0,0.0,0.0
2025-09-23 00:00:00-04:00,49.01083552948459,49.074681540346376,49.01083552948459,49.045143127441406,6500,0.0,0.0,0.0
2025-09-24 00:00:00-04:00,48.93841193525583,49.02703443954012,48.93841193525583,48.993682861328125,1800,0.0,0.0,0.0
2025-09-25 00:00:00-04:00,48.81851225687897,48.85680216246638,48.81851225687897,48.823299407958984,1700,0.232,0.0,0.0
2025-09-26 00:00:00-04:00,48.818512397560035,48.818512397560035,48.76107753901341,48.7964973449707,800,0.0,0.0,0.0
2025-09-29 00:00:00-04:00,48.85680216246638,48.85680216246638,48.823299407958984,48.823299407958984,500,0.0,0.0,0.0
