Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-12 00:00:00-05:00,7.190698778189592,7.680973716137184,7.190698778189592,7.354124069213867,3903750,0.0,0.0
1998-02-13 00:00:00-05:00,7.435836247163388,7.517549360238141,7.272411891264346,7.354124069213867,504000,0.0,0.0
1998-02-17 00:00:00-05:00,7.599262297377172,7.762687604728134,7.599262297377172,7.68097448348999,132600,0.0,0.0
1998-02-18 00:00:00-05:00,7.7626857160161284,8.171247482299805,7.721829165337722,8.171247482299805,140700,0.0,0.0
1998-02-19 00:00:00-05:00,8.252961402225983,8.49809886036017,8.007823944091797,8.007823944091797,235050,0.0,0.0
1998-02-20 00:00:00-05:00,7.926111708198167,8.007824826665614,7.435836737894666,7.640118598937988,204750,0.0,0.0
1998-02-23 00:00:00-05:00,7.6809745610422935,7.762687683105469,7.476693626135027,7.762687683105469,60600,0.0,0.0
1998-02-24 00:00:00-05:00,7.721831410995508,7.762687973555792,7.394981715889339,7.517550468444824,261300,0.0,0.0
1998-02-25 00:00:00-05:00,7.599262658440023,7.599262658440023,7.354125153329055,7.517550468444824,129000,0.0,0.0
1998-02-26 00:00:00-05:00,7.435836402824912,7.926111351035901,7.435836402824912,7.803542613983154,87000,0.0,0.0
1998-02-27 00:00:00-05:00,7.803542613983154,7.84439917137582,7.680973876930406,7.803542613983154,29100,0.0,0.0
1998-03-02 00:00:00-05:00,7.762686991715739,7.84439917137582,7.762686991715739,7.803542613983154,151050,0.0,0.0
1998-03-03 00:00:00-05:00,7.844397882247844,8.171247482299805,7.7626857160161284,8.171247482299805,71850,0.0,0.0
1998-03-04 00:00:00-05:00,8.089536118428128,8.17124829276446,7.7626864859576115,8.007823944091797,31050,0.0,0.0
1998-03-05 00:00:00-05:00,7.926111915613354,7.926111915613354,7.680974424046701,7.885256290435791,51600,0.0,0.0
1998-03-06 00:00:00-05:00,7.885255599714725,7.926111221313477,7.7626868646679945,7.926111221313477,15000,0.0,0.0
1998-03-09 00:00:00-05:00,7.926112056981147,8.089537365982162,7.762687683105469,7.762687683105469,30600,0.0,0.0
1998-03-10 00:00:00-05:00,7.762687683105469,7.926112056981147,7.5175501871666155,7.762687683105469,208050,0.0,0.0
1998-03-11 00:00:00-05:00,7.762686991715739,8.089536645481315,7.762686991715739,7.803542613983154,77400,0.0,0.0
1998-03-12 00:00:00-05:00,7.844399923031297,8.17124960811582,7.762687735541501,8.130393981933594,100950,0.0,0.0
1998-03-13 00:00:00-05:00,8.25296092932545,8.661522712721418,8.25296092932545,8.498098373413086,163950,0.0,0.0
1998-03-16 00:00:00-05:00,8.49810014368225,8.49810014368225,8.252962648529158,8.334674835205078,191700,0.0,0.0
1998-03-17 00:00:00-05:00,8.252961402225983,8.252961402225983,8.007823944091797,8.007823944091797,31950,0.0,0.0
1998-03-18 00:00:00-05:00,8.007825431035268,8.25296293468813,8.007825431035268,8.089537620544434,26250,0.0,0.0
1998-03-19 00:00:00-05:00,8.252961158752441,8.252961158752441,8.089535879775855,8.252961158752441,112200,0.0,0.0
1998-03-20 00:00:00-05:00,8.171246166238827,8.498096648773345,8.171246166238827,8.457240104675293,29100,0.0,0.0
1998-03-23 00:00:00-05:00,8.98837446548141,9.968924373165736,8.824949169158936,9.805499076843262,497850,0.0,0.0
1998-03-24 00:00:00-05:00,9.968922072763284,10.132346396249126,9.396934135187696,9.478647232055664,100050,0.0,0.0
1998-03-25 00:00:00-05:00,9.560360737608685,10.377485275268555,9.47864856438025,10.377485275268555,198750,0.0,0.0
1998-03-26 00:00:00-05:00,10.459198951721191,10.459198951721191,9.968924015470593,10.459198951721191,104850,0.0,0.0
1998-03-27 00:00:00-05:00,10.500054572991923,10.581767685783841,10.132348370803973,10.459198951721191,72600,0.0,0.0
1998-03-30 00:00:00-05:00,10.295774262446399,10.418343003666,10.214062080008427,10.336630821228027,62700,0.0,0.0
1998-03-31 00:00:00-05:00,10.418345542641667,10.949477195739746,10.418345542641667,10.949477195739746,124200,0.0,0.0
1998-04-01 00:00:00-05:00,10.867762278244426,11.112899780273438,10.867762278244426,11.112899780273438,226350,0.0,0.0
1998-04-02 00:00:00-05:00,11.27632196759346,11.521459401671578,11.112896699833014,11.358034133911133,54900,0.0,0.0
1998-04-03 00:00:00-05:00,11.439751301498447,11.521463496859898,11.11290064980178,11.317182540893555,58950,0.0,0.0
1998-04-06 00:00:00-04:00,11.439747676843561,11.603172015785878,11.031184959237498,11.072041511535645,30300,0.0,0.0
1998-04-07 00:00:00-04:00,10.908617895702983,10.949474454211796,10.540911674499512,10.540911674499512,35250,0.0,0.0
1998-04-08 00:00:00-04:00,10.459202111380138,10.949477195739746,10.214064569200335,10.949477195739746,27750,0.0,0.0
1998-04-09 00:00:00-04:00,10.867759147238095,10.908615697513927,10.745190431535692,10.786046981811523,20250,0.0,0.0
1998-04-13 00:00:00-04:00,10.70433521270752,10.70433521270752,10.622622109130472,10.70433521270752,7050,0.0,0.0
1998-04-14 00:00:00-04:00,10.704339122689115,10.86776351928711,10.622625989264652,10.86776351928711,13800,0.0,0.0
