ticker,nombre,precio,score,recomendacion,es_lider_fase,regla_oro,momentum_vs_spy,rango_1m_pct,gan_max_1m,perd_min_1m,max_1m,min_1m,rango_3m_pct,gan_max_3m,perd_min_3m,max_3m,min_3m,rango_6m_pct,gan_max_6m,perd_min_6m,max_6m,min_6m
XLE,Energia,61.90999984741211,26.0,NO RECOMENDADO,True,NEUTRO,1.02,100.0,0.0,7.43,61.91,57.31,100.0,0.0,14.7,61.91,52.81,97.8,0.33,14.7,62.11,52.81
XLB,Materiales,52.540000915527344,24.8,NO RECOMENDADO,True,NEUTRO,-15.1,78.2,1.33,4.78,53.24,50.03,84.0,1.33,7.01,53.24,48.86,89.5,1.33,11.31,53.24,46.6
NU,NU,14.880000114440918,24.5,NO RECOMENDADO,True,NEUTRO,-23.91,79.0,2.35,8.87,15.23,13.56,90.4,2.35,22.04,15.23,11.6,85.6,3.7,22.04,15.43,11.6
IBM,IBM,234.32000732421875,24.3,NO RECOMENDADO,False,CAMBIO DE REGIMEN,-23.85,88.0,1.75,12.81,238.42,204.3,24.5,39.5,12.81,326.89,204.3,24.5,39.5,12.81,326.89,204.3
XLK,Tecnologia,190.00999450683597,24.0,NO RECOMENDADO,False,NEUTRO,22.02,96.9,0.4,12.34,190.77,166.57,74.6,4.19,12.34,197.97,166.57,88.7,4.19,32.98,197.97,127.35
XLI,Industriales,186.50999450683597,23.5,NO RECOMENDADO,True,NEUTRO,-4.93,100.0,0.0,5.28,186.51,176.66,100.0,0.0,9.75,186.51,168.33,100.0,0.0,16.24,186.51,156.23
LMT,LMT,608.6799926757812,23.5,NO RECOMENDADO,True,NEUTRO,-20.08,100.0,0.0,16.69,608.68,507.09,100.0,0.0,19.23,608.68,491.64,64.8,10.45,19.23,672.3,491.64
XLY,Consumo Ciclico,115.87999725341797,21.0,NO RECOMENDADO,False,CAMBIO DE REGIMEN,-12.31,46.7,3.43,3.01,119.86,112.39,60.0,4.1,6.14,120.63,108.76,63.7,5.12,9.0,121.82,105.45
GOOGL,GOOGL,345.20001220703125,20.9,NO RECOMENDADO,False,NEUTRO,-1.4,45.9,9.4,7.97,377.65,317.69,34.8,14.92,7.97,396.7,317.69,55.7,16.56,20.82,402.38,273.34
GLD,Oro,401.4800109863281,19.2,NO RECOMENDADO,False,CAMBIO DE REGIMEN,-27.68,90.8,0.86,8.44,404.92,367.6,68.3,4.22,9.1,418.43,364.96,29.2,22.05,9.1,490.0,364.96
SLV,SLV,62.77000045776367,17.5,NO RECOMENDADO,False,CAMBIO DE REGIMEN,-30.58,100.0,0.0,16.58,62.77,52.36,69.0,8.86,19.72,68.33,50.39,35.8,35.4,19.72,84.99,50.39
QQQ,Nasdaq100,721.1099853515625,16.9,NO RECOMENDADO,False,NEUTRO,7.28,77.4,1.52,5.21,732.07,683.55,71.0,3.36,8.23,745.34,661.73,87.1,3.36,22.67,745.34,557.67
TSM,TSM,426.0899963378906,15.8,NO RECOMENDADO,False,NEUTRO,2.45,92.1,1.03,12.07,430.49,374.67,50.0,12.08,12.07,477.57,374.67,68.2,12.08,25.89,477.57,315.76
XLC,Comunicacion,112.9499969482422,15.7,NO RECOMENDADO,False,CAMBIO DE REGIMEN,-15.31,100.0,0.0,6.7,112.95,105.38,67.0,3.3,6.7,116.68,105.38,56.4,5.17,6.7,118.79,105.38
IWM,Small Caps,299.80999755859375,13.3,NO RECOMENDADO,False,NEUTRO,2.05,62.0,1.76,2.87,305.09,291.2,78.1,1.76,6.28,305.09,280.98,92.0,1.76,20.27,305.09,239.04
NVDA,NVDA,225.3000946044922,13.1,NO RECOMENDADO,False,NEUTRO,8.93,100.0,0.0,15.66,225.3,190.01,100.0,0.0,15.66,225.3,190.01,85.6,4.51,26.77,235.47,164.98
XLRE,Bienes Raices,44.65999984741211,11.9,NO RECOMENDADO,False,NEUTRO,-8.77,45.3,1.57,1.3,45.36,44.08,56.7,3.02,3.95,46.01,42.89,78.7,3.02,11.19,46.01,39.66
XLP,Defensiva Consumidor,86.08999633789062,8.4,NO RECOMENDADO,False,NEUTRO,-17.07,69.4,1.48,3.35,87.36,83.21,79.2,1.48,5.6,87.36,81.27,67.5,3.25,6.75,88.89,80.28
XLV,Salud,171.5800018310547,5.6,NO RECOMENDADO,False,NEUTRO,-7.4,69.8,2.39,5.53,175.68,162.1,86.3,2.39,15.05,175.68,145.76,87.7,2.39,17.12,175.68,142.21
PFE,PFE,28.020000457763672,3.6,NO RECOMENDADO,False,NEUTRO,-13.99,85.0,1.96,11.1,28.57,24.91,89.6,1.96,16.98,28.57,23.26,89.6,1.96,16.98,28.57,23.26
