id,ratio,nivel,A,B,ok,last,z50,pct50,pend50,corr50,beta50,z120,pct120,pend120,corr120,beta120,z200,pct200,pend200,corr200,beta200,z365,pct365,pend365,corr365,beta365,regla_oro,accion
A1,NVDA/SMH,A5 Activo,NVDA,SMH,True,0.3831711604903226,1.49,92.0,15.9,0.6883082454171261,0.48532024209407565,-0.22,46.7,-35.3,0.6582008444572964,0.5504905565720595,-0.79,28.0,-51.3,0.6754835831233232,0.6246388847211711,-1.33,15.3,-47.4,0.7738134925301045,0.8081601944000806,NEUTRO,VIGILAR
A2,TSM/SMH,A5 Activo,TSM,SMH,True,0.7338029536034515,0.87,78.0,5.7,0.8795998962025275,0.7889155228645712,-0.56,45.8,-27.5,0.8330069136738631,0.821995402485919,-0.99,27.5,-19.2,0.832588094812733,0.8259823984544784,-1.3,15.1,-5.0,0.8486055630446859,0.8577161280100594,NEUTRO,VIGILAR
A3,MP/LIT,A5 Activo,MP,LIT,True,0.7194522173784037,0.28,66.0,-17.5,0.5763264513110238,1.1667062584841161,-0.29,40.8,-18.4,0.5775712292439222,1.2103896892691883,-0.77,24.5,-44.0,0.5314403056341542,1.214605320428433,-0.62,32.3,-18.2,0.3257032383879438,0.8769796201939433,BAJISTA CONFIRMADA,ROTAR/NO COMPRAR
A4,AMZN/XLY,A5 Activo,AMZN,XLY,True,2.267198237026761,1.34,82.0,9.2,0.7167242204042807,1.5282421186950248,1.14,86.7,16.7,0.739209687856548,1.3013295133709633,1.55,92.0,15.3,0.7314804762132918,1.3193951320493758,2.12,95.6,9.0,0.7705175831874368,1.1940355859299834,ALCISTA CONFIRMADA,MANTENER/ACUMULAR
A5,GOOGL/XLC,A5 Activo,GOOGL,XLC,True,3.1154440827356558,-1.14,12.0,-4.3,0.751299003407088,1.4890448952064175,0.23,45.0,24.3,0.7187408384725077,1.5524494449518562,0.7,67.0,28.7,0.6496443447200531,1.4080248920410112,1.17,81.9,81.9,0.6623444388919749,1.195460784511542,NEUTRO,VIGILAR
LOC1,PAMP/MERV,A5 Local,PAMP.BA,^MERV,True,0.001683600464607051,1.6,94.0,6.1,0.847138901588823,0.7746483245799045,0.02,50.8,-8.8,0.8126785129389317,0.8111834420611256,-0.32,43.0,-11.8,0.8732099929685286,0.7859193570129641,-0.41,41.9,-2.8,0.8915793891121022,0.8624362758266291,NEUTRO,VIGILAR
LOC2,ARGT/EEM,S3 Pais,ARGT,EEM,True,1.3712006998012292,-0.98,18.0,5.9,0.5742401853860866,0.45810197470281777,-1.05,13.3,-9.1,0.5786691845180116,0.5084972990771441,-1.33,8.5,-22.2,0.45571569900826875,0.6084211812482743,-1.21,9.6,-34.9,0.48177005568731934,0.7445248407840982,NEUTRO,VIGILAR
LOC3,MERV/EEM,S3 Pais ctx,^MERV,EEM,True,45132.77221366667,-1.38,2.0,8.1,0.48272800553453415,0.4575970980764736,-0.67,23.3,4.3,0.38202077285403346,0.39234273135561715,-0.69,20.5,-7.7,0.2997736211321149,0.4773573376884767,-0.51,27.4,-8.9,0.37895098773927444,0.7316394400475069,CAMBIO DE REGIMEN,VIGILAR
EXT1,USO/XLE,P6 PAMP petroleo,USO,XLE,True,2.085859505128183,-0.33,40.0,-7.6,0.7456168716995004,1.7252926838289946,-0.22,35.8,12.2,0.6250787367256622,1.654229154622742,0.5,61.5,46.6,0.6167313521923117,1.4120326647069001,0.93,78.9,28.8,0.6203845094869256,1.1142588659916377,NEUTRO,VIGILAR
EXT2,FXI/SPY,P6 geopolitica,FXI,SPY,True,0.045605768343415655,-0.18,38.0,3.0,0.27107262247658,0.3785869465469485,-1.05,15.8,-23.5,0.47496724562579856,0.6704058230680008,-1.46,9.5,-30.0,0.49611181108352564,0.7246883797766441,-1.96,5.2,-29.8,0.5370757331428355,0.7044633917778099,NEUTRO,VIGILAR
EXT3,EWY/SPY,P6 Asia TSM,EWY,SPY,True,0.22766637411551208,-0.59,36.0,-31.0,0.6993203234044779,3.8839653037384054,-0.03,56.7,21.0,0.7124803401658898,3.6463257133328404,0.66,74.0,69.6,0.6565552965611596,2.9609196323568114,1.25,85.8,113.0,0.5367244367728565,1.4467347067049168,NEUTRO,VIGILAR
EXT4,N225/SPY,P6 Asia TSM,^N225,SPY,True,87.41092228200014,-0.59,30.0,-4.7,0.35904790974747297,0.8653219900277478,0.4,70.8,11.6,0.18709820705937025,0.4418341450569153,0.94,82.5,25.1,0.17791568696703242,0.4041222832776484,1.44,90.4,39.2,0.028475302089378682,0.044214557038934406,NEUTRO,VIGILAR
