ticker,nombre,sector_etf,sector,industria,peso_industria,mcap_B,precio,r1m_pct,r3m_pct,r6m_pct,exceso_r6m_pct,vol60,rsi14,tendencia,score_fuerza,regla_oro_vs_etf,accion,r2_vs_etf,cedear_ba
PR,Permian Resources Corporation,XLE,Energia,Oil & Gas E&P,0.17697449,19.5,23.3,18.1,21.6,34.6,23.5,0.364,66.3,ALCISTA,17.7,CAMBIO DE REGIMEN,SOBRECOMPRADO: NO PERSEGUIR,0.62,
COP,ConocoPhillips,XLE,Energia,Oil & Gas E&P,0.17697449,158.4,131.84,16.3,15.3,21.5,10.5,0.315,66.5,ALCISTA,9.64,NEUTRO,VIGILAR,0.788,COP.BA
EOG,"EOG Resources, Inc.",XLE,Energia,Oil & Gas E&P,0.17697449,77.0,146.83,5.1,10.1,21.7,10.6,0.343,54.3,ALCISTA,7.91,NEUTRO,VIGILAR,0.738,
CNQ,Canadian Natural Resources Limi,XLE,Energia,Oil & Gas E&P,0.17697449,102.2,49.59,12.2,9.6,18.8,7.7,0.334,61.3,ALCISTA,6.41,NEUTRO,VIGILAR,0.569,
FANG,"Diamondback Energy, Inc.",XLE,Energia,Oil & Gas E&P,0.17697449,56.0,199.89,5.6,4.2,21.2,10.1,0.379,50.4,ALCISTA,5.61,NEUTRO,VIGILAR,0.642,
OXY,Occidental Petroleum Corporatio,XLE,Energia,Oil & Gas E&P,0.17697449,58.4,58.41,8.3,3.1,15.7,4.7,0.355,53.0,ALCISTA,2.78,NEUTRO,VIGILAR,0.643,OXY.BA
DVN,Devon Energy Corporation,XLE,Energia,Oil & Gas E&P,0.17697449,51.6,46.91,10.0,6.7,11.4,0.3,0.377,55.4,ALCISTA,2.09,CAMBIO DE REGIMEN,VIGILAR,0.704,
EXE,Expand Energy Corporation,XLE,Energia,Oil & Gas E&P,0.17697449,21.9,94.66,7.6,2.8,-9.2,-20.3,0.274,53.9,BAJISTA,-8.95,CAMBIO DE REGIMEN,VIGILAR,0.201,
EQT,EQT Corporation,XLE,Energia,Oil & Gas E&P,0.17697449,33.8,54.0,4.9,-1.8,-8.5,-19.6,0.287,57.1,BAJISTA,-10.27,CAMBIO DE REGIMEN,VIGILAR,0.206,
TPL,Texas Pacific Land Corporation,XLE,Energia,Oil & Gas E&P,0.17697449,25.7,372.79,-4.3,-8.1,-26.8,-37.8,0.503,48.0,BAJISTA,-20.66,CAMBIO DE REGIMEN,VIGILAR,0.181,
